"id","dam_id","sire_id","sex","birth_date"
"35675","35631","35748","F","1986-07-05"
"35676","35629","35930","F","1992-05-15"
"35678",NA,NA,"M",NA
"35680","35625","35907","F","1982-06-21"
"35681",NA,NA,"M",NA
"35682","35931","35907","F","1983-06-24"
"35684",NA,NA,"M",NA
"35686",NA,NA,"F",NA
"35687","35497","35723","M","1991-05-07"
"35689","35501","35576","F","1993-06-05"
"35690","35921","35900","F","1978-05-10"
"35691","35702","35912","M","1983-06-28"
"35693","35803","35668","M","1996-06-27"
"35694",NA,NA,"M",NA
"35695","35655","35694","F","1973-03-28"
"35696","35851","35820","F","1979-06-25"
"35697",NA,NA,"M",NA
"35698","35797","35678","M","1996-06-30"
"35700","35583","35745","F","1987-06-24"
"35702",NA,NA,"F",NA
"35704",NA,NA,"F","1988-03-03"
"35705","35586","35881","F","1983-07-11"
"35706",NA,NA,"F","1988-05-08"
"35707",NA,NA,"F",NA
"35708","35682","35691","F","1989-07-16"
"35710","35518","35633","F","2000-06-09"
"35719","35854","35602","F","1998-05-31"
"35720",NA,NA,"F",NA
"35722","35597","35565","F","1998-06-02"
"35723","35586","35753","M","1981-09-04"
"35724","35827","35762","F","1980-05-31"
"35726",NA,NA,"M",NA
"35729",NA,NA,"M",NA
"35730",NA,NA,"M",NA
"35731","35720","35729","F","1983-08-10"
"35732",NA,NA,"M",NA
"35735","35777","35730","F","1985-08-20"
"35736","35707","35697","M","1977-07-14"
"35740",NA,NA,"F",NA
"35742","35689","35837","F","2001-07-13"
"35745","35868","35697","M","1977-06-30"
"35746","35560","35872","F","1992-05-29"
"35748","35898","35531","M","1981-10-02"
"35749","35735","35907","F","1991-05-30"
"35750",NA,NA,"M",NA
"35752","35501","35576","F","1992-06-08"
"35753",NA,NA,"M",NA
"35754",NA,NA,"M","1989-07-07"
"35755","35664","35767","F","1999-06-24"
"35756","35735","35930","M","1992-06-04"
"35758",NA,NA,"F",NA
"35761",NA,NA,"M",NA
"35762",NA,NA,"M",NA
"35763","35610","35581","F","2000-07-15"
"35765",NA,NA,"M",NA
"35767","35505","35912","M","1991-06-12"
"35768","35785","35684","F","1997-07-26"
"35770",NA,NA,"M",NA
"35771","35705","35852","M","1992-06-15"
"35772","35667","35691","M","1991-06-12"
"35773","35883","35745","M","1992-06-16"
"35776",NA,NA,"F",NA
"35777",NA,NA,"F",NA
"35778","35696","35604","F","1983-09-29"
"35781","35901","35869","F","1989-08-30"
"35782","35700","35732","F","2000-07-15"
"35785","35488","35514","F","1991-06-14"
"35791","35645","35732","F","1998-07-01"
"35793","35758","35753","M","1978-07-20"
"35796","35827","35762","F","1979-08-01"
"35797","35550","35930","F","1990-08-29"
"35798","35535","35852","F","1992-07-09"
"35800","35545","35486","F","1989-09-26"
"35803","35507","35930","F","1991-07-07"
"35805","35607","35565","F","1996-10-15"
"35808","35546","35511","F","1991-07-11"
"35809","35798","35617","M","2000-08-06"
"35811","35892","35654","M","1992-07-28"
"35813","35680","35750","F","1993-08-05"
"35815","35612","35869","F","1992-07-30"
"35817","35661","35872","F","1991-07-19"
"35820",NA,NA,"M",NA
"35823","35915","35514","F","1992-06-10"
"35825","35876","35871","F","1985-12-22"
"35827",NA,NA,"F",NA
"35830","35594","35852","F","1991-07-28"
"35832","35568",NA,"F","1979-02-20"
"35833",NA,NA,"F","1978-03-19"
"35834","35579","35890","F","1980-07-29"
"35837","35893","35510","M","1990-10-09"
"35838",NA,NA,"F","1978-06-12"
"35839","35796","35793","F","1991-08-05"
"35841","35834","35912","F","1990-10-25"
"35842","35589","35930","F","1991-07-28"
"35843","35815","35672","M","2001-10-01"
"35846",NA,NA,"F",NA
"35847","35850","35510","F","1992-08-06"
"35849",NA,NA,"F","1982-05-12"
"35850",NA,NA,"F","1980-04-24"
"35851","35860","35770","F","1972-05-30"
"35852",NA,NA,"M","1978-05-28"
"35853",NA,NA,"F",NA
"35854","35550","35912","F","1991-08-17"
"35856","35541","35736","F","1992-09-01"
"35857",NA,NA,"F","1979-03-04"
"35859",NA,NA,"F",NA
"35860",NA,NA,"F",NA
"35862",NA,NA,"F","1978-02-23"
"35864",NA,NA,"F","1979-06-06"
"35868",NA,NA,"F",NA
"35869",NA,NA,"M","1978-04-26"
"35871",NA,NA,"M","1978-04-27"
"35872",NA,NA,"M","1978-05-12"
"35873","35813","35687","M","2001-10-19"
"35874","35916","35761","M","1975-08-08"
"35875","35675","35772","F","1998-09-07"
"35876",NA,NA,"F","1979-07-31"
"35881",NA,NA,"M",NA
"35882",NA,NA,"F","1979-09-07"
"35883","35897","35697","F","1978-09-27"
"35884",NA,NA,"F",NA
"35885","35758","35761","F","1974-08-26"
"35886","35915","35732","F","1993-11-07"
"35890",NA,NA,"M",NA
"35891",NA,NA,"F",NA
"35892",NA,NA,"F","1978-05-03"
"35893","35853","35852","F","1985-02-26"
"35894",NA,NA,"M",NA
"35895","35529","35532","F","1991-10-05"
"35896","35882","35852","F","1991-10-07"
"35897","35665","35911","F","1970-07-14"
"35898",NA,NA,"F",NA
"35900",NA,NA,"M",NA
"35901","35846","35820","F","1976-03-08"
"35903","35686","35900","F","1970-07-24"
"35905","35648","35911","F","1970-07-30"
"35906","35498","35646","M","2002-03-12"
"35907",NA,NA,"M",NA
"35908",NA,NA,"M",NA
"35911",NA,NA,"M",NA
"35912",NA,NA,"M",NA
"35913","35585","35765","F","1971-11-10"
"35915","35680","35499","F","1987-03-05"
"35916",NA,NA,"F",NA
"35917","35740","35753","F","1973-11-09"
"35919",NA,NA,"F",NA
"35921",NA,NA,"F",NA
"35923","35724","35748","F","1990-03-18"
"35930","35776",NA,"M","1981-03-20"
"35931",NA,NA,"F",NA
"35933","35700","35732","M","1996-04-08"
"35934","35749","35576","M","2002-03-23"
"35935","35832","35486","F","1984-03-28"
"35936","35517","35521","M","1989-03-30"
